sigma_k_over_m,L,global_8segment_minimum,projected_kkt_residual,vertices_checked,whole_lipschitz_charge_lower_bound,status_prd_v1_4,sos_gamma_verified,sos_minimum_psd_eigenvalue,sos_coefficient_residual,sos_positive_certificate
0.05,24.0,0.530381025571391,1.2284617767477357e-13,256,0.5289577863982817,guaranteed,0.5269646376841624,2.7307777190256147e-14,1.2811373327221293e-20,True
0.08,12.0,0.4469681714565943,4.755362770225702e-13,256,0.44004417530896317,guaranteed,0.38109370618878885,2.01418508858725e-13,1.1858461261560205e-20,True
0.08,16.0,0.33092439785514355,5.797723412470646e-13,256,0.2974351581551028,guaranteed,-1.6905046363192713,1.6467669182833864e-14,5.074416996586535e-20,False
0.08,24.0,0.2039390774863909,9.163503289499886e-13,256,-0.06368321959501605,unresolved,-4.548083660196048,2.611500196932179e-15,5.074416996586535e-20,False
0.1,6.0,0.5434758057227678,4.000202946663478e-13,256,0.542635007093765,guaranteed,0.5172658128144154,4.3316134148920816e-13,6.776263578034403e-21,True
0.1,8.0,0.4375580263926147,7.250797184887858e-13,256,0.429612935521489,guaranteed,0.3805714678159771,4.2129942006985467e-13,6.776263578034403e-21,True
0.1,12.0,0.27445485141511294,9.621886620791997e-13,256,0.20175091499929698,guaranteed,0.17102466991446236,1.8683692974070278e-13,6.776263578034403e-21,True
0.1,16.0,0.18374031585177097,8.493206138382448e-15,256,-0.09666241129051152,unresolved,-0.3335336055388059,1.4581020378424104e-15,6.776263578034403e-21,False
0.15,3.0,0.5213133773013409,6.797791496371275e-13,256,0.5200423639178806,guaranteed,0.5196865455548724,1.5443577072438987e-12,1.6263032587282567e-19,True
0.15,4.0,0.41138466833585147,4.0158848468863084e-15,256,0.4001604782352467,guaranteed,0.39591923878678104,2.7811714790968584e-12,1.6263032587282567e-19,True
0.15,6.0,0.2423598559032801,4.7080395138010545e-15,256,0.14789161854217273,guaranteed,-0.02263589217713418,7.665088792093051e-14,1.6263032587282567e-19,False
0.15,8.0,0.06673455505913055,9.967721092962734e-15,256,-0.19505048784743753,explicit_overlap,-0.3301073780529741,4.425849468842809e-14,1.6263032587282567e-19,False
0.2,2.0,0.48243104954264693,7.073716612460146e-13,256,0.47956581915593477,guaranteed,0.4250718932812002,1.3023846078677524e-12,2.6020852139652106e-18,True
0.2,3.0,0.31211429567231574,1.923808334858279e-15,256,0.27959569828044595,guaranteed,0.2590583268467707,2.3942341547661444e-13,8.673617379884035e-19,True
0.2,4.0,0.19392733191432449,1.5508427875232655e-15,256,0.04347096941170259,guaranteed,-0.01563625228738657,1.8547133088950356e-12,8.673617379884035e-19,False
0.3,1.0,0.49567761815547834,7.532221374395576e-13,256,0.493895909189672,guaranteed,0.4596528053068182,1.4105128631931656e-11,1.734723475976807e-18,True
0.3,2.0,0.18965671531581463,1.1830814106161824e-15,256,0.06419475080775058,guaranteed,0.027782164776551217,3.5580751805046363e-12,1.734723475976807e-18,True
0.4,0.5,0.612429749743455,9.553794387551218e-13,256,0.6123428591398853,guaranteed,0.60978505407328,2.8933354965066484e-11,2.0816681711721685e-17,True
0.4,1.0,0.30817203304669744,8.264083861675431e-13,256,0.2745489916940222,guaranteed,0.16400751562262728,1.86036849519347e-12,2.0816681711721685e-17,True
0.5,0.5,0.4886037420306038,3.816340255966e-12,256,0.4862292688641646,guaranteed,0.4766312583274195,4.629433089215721e-11,3.380334361537405e-20,True
0.5,1.0,0.15899317842369132,4.5451531427431746e-11,256,0.0023398672791322215,guaranteed,-0.007263625678957655,5.2372785741463396e-12,2.168404344971009e-19,False
