sigma_k_over_m,L,status_monotone,scaling_product_L_sigma2
0.02,0.25,guaranteed,0.0001
0.02,0.5,guaranteed,0.0002
0.02,1.0,guaranteed,0.0004
0.02,2.0,guaranteed,0.0008
0.02,3.0,guaranteed,0.0012
0.02,4.0,guaranteed,0.0016
0.02,6.0,guaranteed,0.0024
0.02,8.0,guaranteed,0.0032
0.02,12.0,guaranteed,0.0048
0.02,16.0,guaranteed,0.0064
0.02,24.0,guaranteed,0.0096
0.05,0.25,guaranteed,0.0006250000000000001
0.05,0.5,guaranteed,0.0012500000000000002
0.05,1.0,guaranteed,0.0025000000000000005
0.05,2.0,guaranteed,0.005000000000000001
0.05,3.0,guaranteed,0.0075000000000000015
0.05,4.0,guaranteed,0.010000000000000002
0.05,6.0,guaranteed,0.015000000000000003
0.05,8.0,guaranteed,0.020000000000000004
0.05,12.0,guaranteed,0.030000000000000006
0.05,16.0,guaranteed,0.04000000000000001
0.05,24.0,unresolved,0.06000000000000001
0.08,0.25,guaranteed,0.0016
0.08,0.5,guaranteed,0.0032
0.08,1.0,guaranteed,0.0064
0.08,2.0,guaranteed,0.0128
0.08,3.0,guaranteed,0.0192
0.08,4.0,guaranteed,0.0256
0.08,6.0,guaranteed,0.0384
0.08,8.0,guaranteed,0.0512
0.08,12.0,unresolved,0.0768
0.08,16.0,unresolved,0.1024
0.08,24.0,unresolved,0.1536
0.1,0.25,guaranteed,0.0025000000000000005
0.1,0.5,guaranteed,0.005000000000000001
0.1,1.0,guaranteed,0.010000000000000002
0.1,2.0,guaranteed,0.020000000000000004
0.1,3.0,guaranteed,0.030000000000000006
0.1,4.0,guaranteed,0.04000000000000001
0.1,6.0,unresolved,0.06000000000000001
0.1,8.0,unresolved,0.08000000000000002
0.1,12.0,unresolved,0.12000000000000002
0.1,16.0,unresolved,0.16000000000000003
0.1,24.0,explicit_overlap,0.24000000000000005
0.15,0.25,guaranteed,0.005625
0.15,0.5,guaranteed,0.01125
0.15,1.0,guaranteed,0.0225
0.15,2.0,guaranteed,0.045
0.15,3.0,unresolved,0.06749999999999999
0.15,4.0,unresolved,0.09
0.15,6.0,unresolved,0.13499999999999998
0.15,8.0,unresolved,0.18
0.15,12.0,explicit_overlap,0.26999999999999996
0.15,16.0,explicit_overlap,0.36
0.15,24.0,explicit_overlap,0.5399999999999999
0.2,0.25,guaranteed,0.010000000000000002
0.2,0.5,guaranteed,0.020000000000000004
0.2,1.0,guaranteed,0.04000000000000001
0.2,2.0,unresolved,0.08000000000000002
0.2,3.0,unresolved,0.12000000000000002
0.2,4.0,unresolved,0.16000000000000003
0.2,6.0,explicit_overlap,0.24000000000000005
0.2,8.0,explicit_overlap,0.32000000000000006
0.2,12.0,explicit_overlap,0.4800000000000001
0.2,16.0,explicit_overlap,0.6400000000000001
0.2,24.0,explicit_overlap,0.9600000000000002
0.3,0.25,guaranteed,0.0225
0.3,0.5,guaranteed,0.045
0.3,1.0,unresolved,0.09
0.3,2.0,unresolved,0.18
0.3,3.0,explicit_overlap,0.26999999999999996
0.3,4.0,explicit_overlap,0.36
0.3,6.0,explicit_overlap,0.5399999999999999
0.3,8.0,explicit_overlap,0.72
0.3,12.0,explicit_overlap,1.0799999999999998
0.3,16.0,explicit_overlap,1.44
0.3,24.0,explicit_overlap,2.1599999999999997
0.4,0.25,guaranteed,0.04000000000000001
0.4,0.5,unresolved,0.08000000000000002
0.4,1.0,unresolved,0.16000000000000003
0.4,2.0,explicit_overlap,0.32000000000000006
0.4,3.0,explicit_overlap,0.4800000000000001
0.4,4.0,explicit_overlap,0.6400000000000001
0.4,6.0,explicit_overlap,0.9600000000000002
0.4,8.0,explicit_overlap,1.2800000000000002
0.4,12.0,explicit_overlap,1.9200000000000004
0.4,16.0,explicit_overlap,2.5600000000000005
0.4,24.0,explicit_overlap,3.8400000000000007
0.5,0.25,guaranteed,0.0625
0.5,0.5,unresolved,0.125
0.5,1.0,unresolved,0.25
0.5,2.0,explicit_overlap,0.5
0.5,3.0,explicit_overlap,0.75
0.5,4.0,explicit_overlap,1.0
0.5,6.0,explicit_overlap,1.5
0.5,8.0,explicit_overlap,2.0
0.5,12.0,explicit_overlap,3.0
0.5,16.0,explicit_overlap,4.0
0.5,24.0,explicit_overlap,6.0
