sigmaC_over_sigmaM,rho,whole_class_whitened_lower_bound,minimizing_anchor_gM,estimator_scale_for_3sigma,estimator_scale_for_5sigma
0.5,0.0,0.5551904757131725,0.7267340152585642,0.18506349190439084,0.11103809514263449
0.5,0.5,0.4573331208878374,0.7025886627268397,0.15244437362927912,0.09146662417756748
0.5,-0.5,0.7704829326631564,0.7776289707927683,0.25682764422105214,0.15409658653263128
1.0,0.0,0.40425535950546276,0.5740210780930812,0.13475178650182093,0.08085107190109256
1.0,0.5,0.33055920065338146,0.5849489174004412,0.11018640021779381,0.0661118401306763
1.0,-0.5,0.5702241964582366,0.5547568099297184,0.19007473215274553,0.11404483929164733
2.0,0.0,0.258378890589821,0.42540668080230587,0.08612629686327367,0.0516757781179642
2.0,0.5,0.2154091535981473,0.46460133485547056,0.07180305119938243,0.04308183071962946
2.0,-0.5,0.35383218376462927,0.3658138737554373,0.11794406125487643,0.07076643675292585
4.0,0.0,0.15092614483672623,0.3061359743956926,0.05030871494557541,0.030185228967345247
4.0,0.5,0.1295401637496987,0.35897808786276475,0.0431800545832329,0.02590803274993974
4.0,-0.5,0.19900883416659026,0.23571426274556834,0.06633627805553009,0.039801766833318056
