coordinate,sigma_k_over_m,L,origin_charge_lower_envelope,origin_envelope_positive
G1,0.02,0.25,0.9995004986309587,True
G1,0.02,0.5,0.9985025422355185,True
G1,0.02,1.0,0.996508723382036,True
G1,0.02,2.0,0.9925294614246625,True
G1,0.02,3.0,0.988561367133411,True
G1,0.02,4.0,0.9846044405082817,True
G1,0.02,6.0,0.9767240902563892,True
G1,0.02,8.0,0.9688884106689852,True
G1,0.02,12.0,0.953351063487642,True
G1,0.02,16.0,0.9379923989642522,True
G1,0.02,24.0,0.9078111178913328,True
G1,0.05,0.25,0.9968942043973217,True
G1,0.05,0.5,0.990722757728927,True
G1,0.05,1.0,0.9784604494453,True
G1,0.05,2.0,0.9542581730906939,True
G1,0.05,3.0,0.9304856836862861,True
G1,0.05,4.0,0.9071429812320765,True
G1,0.05,6.0,0.8617469371742446,True
G1,0.05,8.0,0.8180700408682915,True
G1,0.05,12.0,0.7358733937251328,True
G1,0.05,16.0,0.6605320432507782,True
G1,0.05,24.0,0.5289577863982817,True
G1,0.08,0.25,0.9921227293498427,True
G1,0.08,0.5,0.9766230000196066,True
G1,0.08,1.0,0.9461378549696544,True
G1,0.08,2.0,0.887224819311831,True
G1,0.08,3.0,0.831054789573439,True
G1,0.08,4.0,0.7776277598601717,True
G1,0.08,6.0,0.6789947602201649,True
G1,0.08,8.0,0.5910806915709453,True
G1,0.08,12.0,0.44004417530896317,True
G1,0.08,16.0,0.2974351581551028,True
G1,0.08,24.0,-0.06368321959501605,False
G1,0.1,0.25,0.9877930786227516,True
G1,0.1,0.5,0.9639841275019593,True
G1,0.1,1.0,0.9175930265311316,True
G1,0.1,2.0,0.8297180296695417,True
G1,0.1,3.0,0.7483858971460747,True
G1,0.1,4.0,0.6735874515858933,True
G1,0.1,6.0,0.542635007093765,True
G1,0.1,8.0,0.429612935521489,True
G1,0.1,12.0,0.20175091499929698,True
G1,0.1,16.0,-0.09666241129051152,False
G1,0.1,24.0,-1.0123661677589153,False
G1,0.15,0.25,0.9732585658061603,True
G1,0.15,0.5,0.9225788302062381,True
G1,0.15,1.0,0.826991418016993,True
G1,0.15,2.0,0.658889887918636,True
G1,0.15,3.0,0.5200423639178806,True
G1,0.15,4.0,0.4001604782352467,True
G1,0.15,6.0,0.14789161854217273,True
G1,0.15,8.0,-0.19505048784743753,False
G1,0.15,12.0,-1.2491802084151393,False
G1,0.15,16.0,-2.7963107165878975,False
G1,0.15,24.0,-7.302654942238881,False
G1,0.2,0.25,0.954019960525178,True
G1,0.2,0.5,0.8700278082287699,True
G1,0.2,1.0,0.7187525856659578,True
G1,0.2,2.0,0.47956581915593477,True
G1,0.2,3.0,0.27959569828044595,True
G1,0.2,4.0,0.04347096941170259,True
G1,0.2,6.0,-0.6628505963629225,False
G1,0.2,8.0,-1.7119593924910061,False
G1,0.2,12.0,-4.797671666346915,False
