coordinate,grid_n,kmax_sigma,whole_class_whitened_lower_bound,minimizing_anchor_gM
G1,10001,10.0,0.4042553594969179,0.5740208880092518
G1,10001,12.0,0.4042553594516443,0.5740209818217595
G1,10001,14.0,0.40425535943936475,0.5740210131039565
G1,20001,10.0,0.40425535948521063,0.5740209662896225
G1,20001,12.0,0.40425535950546276,0.5740210780930812
G1,20001,14.0,0.4042553595010045,0.5740209036907397
G1,40001,10.0,0.40425535948946706,0.5740210065380229
G1,40001,12.0,0.40425535949309793,0.5740210300808373
G1,40001,14.0,0.40425535949000907,0.574020957432914
GC,10001,10.0,0.4037104574039706,0.5731620515166815
GC,10001,12.0,0.4037104573837289,0.5731620204202328
GC,10001,14.0,0.40371045738250005,0.5731619273701766
GC,20001,10.0,0.4037104574143632,0.5731619740204158
GC,20001,12.0,0.40371045742479283,0.5731619275400451
GC,20001,14.0,0.4037104574124406,0.5731620366438676
GC,40001,10.0,0.40371045741913963,0.5731620135996833
GC,40001,12.0,0.40371045741860134,0.573161978852781
GC,40001,14.0,0.4037104574169074,0.5731619859868725
