sigma_k_over_m,L,status_v1_1,scaling_product_L_sigma2,whole_lipschitz_charge_lower_bound,status_publication
0.02,0.25,guaranteed,0.0001,0.9995004986309587,guaranteed
0.02,0.5,guaranteed,0.0002,0.9985025422355185,guaranteed
0.02,1.0,guaranteed,0.0004,0.996508723382036,guaranteed
0.02,2.0,guaranteed,0.0008,0.9925294614246625,guaranteed
0.02,3.0,guaranteed,0.0012,0.988561367133411,guaranteed
0.02,4.0,guaranteed,0.0016,0.9846044405082817,guaranteed
0.02,6.0,guaranteed,0.0024,0.9767240902563892,guaranteed
0.02,8.0,guaranteed,0.0032,0.9688884106689852,guaranteed
0.02,12.0,guaranteed,0.0048,0.953351063487642,guaranteed
0.02,16.0,guaranteed,0.0064,0.9379923989642522,guaranteed
0.02,24.0,guaranteed,0.0096,0.9078111178913328,guaranteed
0.05,0.25,guaranteed,0.000625,0.9968942043973217,guaranteed
0.05,0.5,guaranteed,0.00125,0.990722757728927,guaranteed
0.05,1.0,guaranteed,0.0025,0.9784604494453,guaranteed
0.05,2.0,guaranteed,0.005,0.9542581730906939,guaranteed
0.05,3.0,guaranteed,0.0075,0.9304856836862861,guaranteed
0.05,4.0,guaranteed,0.01,0.9071429812320765,guaranteed
0.05,6.0,guaranteed,0.015,0.8617469371742446,guaranteed
0.05,8.0,guaranteed,0.02,0.8180700408682915,guaranteed
0.05,12.0,guaranteed,0.03,0.7358733937251328,guaranteed
0.05,16.0,guaranteed,0.04,0.6605320432507782,guaranteed
0.05,24.0,unresolved,0.06,0.5289577863982817,guaranteed
0.08,0.25,guaranteed,0.0016,0.9921227293498427,guaranteed
0.08,0.5,guaranteed,0.0032,0.9766230000196066,guaranteed
0.08,1.0,guaranteed,0.0064,0.9461378549696544,guaranteed
0.08,2.0,guaranteed,0.0128,0.887224819311831,guaranteed
0.08,3.0,guaranteed,0.0192,0.831054789573439,guaranteed
0.08,4.0,guaranteed,0.0256,0.7776277598601717,guaranteed
0.08,6.0,guaranteed,0.0384,0.6789947602201649,guaranteed
0.08,8.0,guaranteed,0.0512,0.5910806915709453,guaranteed
0.08,12.0,unresolved,0.0768,0.44004417530896317,guaranteed
0.08,16.0,unresolved,0.1024,0.2974351581551028,guaranteed
0.08,24.0,unresolved,0.1536,-0.06368321959501605,unresolved
0.1,0.25,guaranteed,0.0025,0.9877930786227516,guaranteed
0.1,0.5,guaranteed,0.005,0.9639841275019593,guaranteed
0.1,1.0,guaranteed,0.01,0.9175930265311316,guaranteed
0.1,2.0,guaranteed,0.02,0.8297180296695417,guaranteed
0.1,3.0,guaranteed,0.03,0.7483858971460747,guaranteed
0.1,4.0,guaranteed,0.04,0.6735874515858933,guaranteed
0.1,6.0,unresolved,0.06,0.542635007093765,guaranteed
0.1,8.0,unresolved,0.08,0.429612935521489,guaranteed
0.1,12.0,unresolved,0.12,0.20175091499929698,guaranteed
0.1,16.0,unresolved,0.16,-0.09666241129051152,unresolved
0.1,24.0,explicit_overlap,0.24,-1.0123661677589153,explicit_overlap
0.15,0.25,guaranteed,0.005625,0.9732585658061603,guaranteed
0.15,0.5,guaranteed,0.01125,0.9225788302062381,guaranteed
0.15,1.0,guaranteed,0.0225,0.826991418016993,guaranteed
0.15,2.0,guaranteed,0.045,0.658889887918636,guaranteed
0.15,3.0,unresolved,0.0674999999999999,0.5200423639178806,guaranteed
0.15,4.0,unresolved,0.09,0.4001604782352467,guaranteed
0.15,6.0,unresolved,0.1349999999999999,0.14789161854217273,guaranteed
0.15,8.0,unresolved,0.18,-0.19505048784743753,explicit_overlap
0.15,12.0,explicit_overlap,0.2699999999999999,-1.2491802084151393,explicit_overlap
0.15,16.0,explicit_overlap,0.36,-2.7963107165878975,explicit_overlap
0.15,24.0,explicit_overlap,0.5399999999999999,-7.302654942238881,explicit_overlap
0.2,0.25,guaranteed,0.01,0.954019960525178,guaranteed
0.2,0.5,guaranteed,0.02,0.8700278082287699,guaranteed
0.2,1.0,guaranteed,0.04,0.7187525856659578,guaranteed
0.2,2.0,unresolved,0.08,0.47956581915593477,guaranteed
0.2,3.0,unresolved,0.12,0.27959569828044595,guaranteed
0.2,4.0,unresolved,0.16,0.04347096941170259,guaranteed
0.2,6.0,explicit_overlap,0.24,-0.6628505963629225,explicit_overlap
0.2,8.0,explicit_overlap,0.32,-1.7119593924910061,explicit_overlap
0.2,12.0,explicit_overlap,0.4800000000000001,-4.797671666346915,explicit_overlap
0.2,16.0,explicit_overlap,0.6400000000000001,-9.149375144011689,explicit_overlap
0.2,24.0,explicit_overlap,0.9600000000000002,-21.571417126293127,explicit_overlap
0.3,0.25,guaranteed,0.0225,0.9043889365517216,guaranteed
0.3,0.5,guaranteed,0.045,0.7450941356081431,guaranteed
0.3,1.0,unresolved,0.09,0.493895909189672,guaranteed
0.3,2.0,unresolved,0.18,0.06419475080775058,guaranteed
0.3,3.0,explicit_overlap,0.2699999999999999,-0.6058717009072374,explicit_overlap
0.3,4.0,explicit_overlap,0.36,-1.592128159676343,explicit_overlap
0.3,6.0,explicit_overlap,0.5399999999999999,-4.467104968538491,explicit_overlap
0.3,8.0,explicit_overlap,0.72,-8.492048545428624,explicit_overlap
0.3,12.0,explicit_overlap,1.0799999999999998,-19.91113818378011,explicit_overlap
0.3,16.0,explicit_overlap,1.44,-35.79021574361625,explicit_overlap
0.3,24.0,explicit_overlap,2.16,-80.89666810314198,explicit_overlap
0.4,0.25,guaranteed,0.04,0.8442143386951073,guaranteed
0.4,0.5,unresolved,0.08,0.6123428591398853,guaranteed
0.4,1.0,unresolved,0.16,0.2745489916940222,guaranteed
0.4,2.0,explicit_overlap,0.32,-0.6763051396753356,explicit_overlap
0.4,3.0,explicit_overlap,0.4800000000000001,-2.3273175003053685,explicit_overlap
0.4,4.0,explicit_overlap,0.6400000000000001,-4.641445497425728,explicit_overlap
0.4,6.0,explicit_overlap,0.9600000000000002,-11.16595392989705,explicit_overlap
0.4,8.0,explicit_overlap,1.2800000000000002,-20.17523278148791,explicit_overlap
0.4,12.0,explicit_overlap,1.9200000000000004,-45.60184321377295,explicit_overlap
0.4,16.0,explicit_overlap,2.5600000000000005,-80.8910269156188,explicit_overlap
0.4,24.0,explicit_overlap,3.8400000000000007,-181.04437876430896,explicit_overlap
0.5,0.25,guaranteed,0.0625,0.7777713086919378,guaranteed
0.5,0.5,unresolved,0.125,0.4862292688641646,guaranteed
0.5,1.0,unresolved,0.25,0.0023398672791322215,guaranteed
0.5,2.0,explicit_overlap,0.5,-1.7798910848796097,explicit_overlap
0.5,3.0,explicit_overlap,0.75,-4.73038444556228,explicit_overlap
0.5,4.0,explicit_overlap,1.0,-8.768595905986015,explicit_overlap
0.5,6.0,explicit_overlap,1.5,-20.033541776144485,explicit_overlap
0.5,8.0,explicit_overlap,2.0,-35.52286436954764,explicit_overlap
0.5,12.0,explicit_overlap,3.0,-79.15026813578844,explicit_overlap
0.5,16.0,explicit_overlap,4.0,-139.63595908653508,explicit_overlap
0.5,24.0,explicit_overlap,6.0,-311.177300250739,explicit_overlap
