sigma_k_over_m,L,whole_class_distance_lower_bound,minimizing_anchor_gM
0.02,0.25,0.5371401337570688,0.5897442242154904
0.02,0.5,0.5363754985166389,0.5896523163337597
0.02,1.0,0.5348484528418586,0.5894684987380728
0.02,2.0,0.5318032606834419,0.5891008256193128
0.02,3.0,0.528769934048374,0.5887331121340046
0.02,4.0,0.5257484728562791,0.5883653587715867
0.02,6.0,0.5197411464645019,0.5876297380699026
0.02,8.0,0.513781280804191,0.5868939750473852
0.02,12.0,0.5020039286053825,0.585422072353663
0.02,16.0,0.49041640956946375,0.5839497506922927
0.02,24.0,0.4678108391695929,0.581004313995401
0.05,0.25,0.5334958602799923,0.5896899367358603
0.05,0.5,0.5287824566302523,0.58912053670351
0.05,1.0,0.5194413146504062,0.5879814346121663
0.05,2.0,0.5011016832480111,0.5857021777486362
0.05,3.0,0.48321890254947386,0.5834218270603151
0.05,4.0,0.46579294418910866,0.5811408083442867
0.05,6.0,0.4323107927553167,0.5765812745953062
0.05,8.0,0.4006374201285505,0.5720781815270658
0.05,12.0,0.34215415493500184,0.5639708873104277
0.05,16.0,0.2881246697313302,0.5571955644259909
0.05,24.0,0.18593284939016522,0.5334997319848758
0.08,0.25,0.5268881067111574,0.5895876334260931
0.08,0.5,0.5151206104245108,0.5881522699124506
0.08,1.0,0.49213281723738905,0.5852797779316469
0.08,2.0,0.44834583245375936,0.579530724822757
0.08,3.0,0.4074678781387335,0.5738122222162028
0.08,4.0,0.3693677288030933,0.5683857080341703
0.08,6.0,0.29946279293440686,0.5594015506311888
0.08,8.0,0.233884258693856,0.5489998687713381
0.08,12.0,0.11335055957208347,0.4898941616849099
0.08,16.0,0.030349942697727342,0.35403699816738793
0.08,24.0,1.1203255519921804e-68,-3.469446951953614e-18
0.1,0.25,0.5209616705176915,0.5894911463961401
0.1,0.5,0.5029848048180647,0.5872781250454835
0.1,1.0,0.46833719727977513,0.582848359073493
0.1,2.0,0.40425535950546276,0.5740210780930812
0.1,3.0,0.3466796465253232,0.565972595020314
0.1,4.0,0.293712343712177,0.559353816124442
0.1,6.0,0.19405136282003543,0.5385050666780501
0.1,8.0,0.10458985323875884,0.4828136481980952
0.1,12.0,0.007175266131243845,0.2379041815408307
0.1,16.0,0.0,2.2515963068021467e-07
0.1,24.0,0.0,1.2687278842591956e-11
0.15,0.25,0.5015236040927997,0.5891375311288581
0.15,0.5,0.4639811484485443,0.5843589744009624
0.15,1.0,0.39503527067273014,0.574850740885618
0.15,2.0,0.2771853962076166,0.5593703635171121
0.15,3.0,0.17144450330335176,0.5321671070644048
0.15,4.0,0.08116728236173988,0.45987533343018144
0.15,6.0,0.002167058296424841,0.17170161476454224
0.15,8.0,0.0,1.2687278842591956e-11
0.15,12.0,0.0,2.3844712657247005e-07
0.15,16.0,0.0,3.858077141444553e-07
0.15,24.0,0.0,1.2687282312038908e-11
0.2,0.25,0.47679507088066386,0.5885892889930402
0.2,0.5,0.41622327650860325,0.5804975364003382
0.2,1.0,0.31148417833632625,0.56625116716553
0.2,2.0,0.13451692861646244,0.5149321089087402
0.2,3.0,0.021676359323884415,0.3318163928209594
0.2,4.0,2.4673236428714737e-05,0.048907804137913465
0.2,6.0,0.0,1.2687278842591956e-11
0.2,8.0,0.0,2.3844712657420467e-07
0.2,12.0,0.0,1.2687280577315432e-11
0.2,16.0,0.0,1.268727884259196e-11
0.2,24.0,0.0,1.0100371803036957e-06
0.3,0.25,0.4176062241347717,0.5867164700185735
0.3,0.5,0.31036012694446413,0.5720218184701017
0.3,1.0,0.1333428940710484,0.5222419917597989
0.3,2.0,8.336891275678308e-05,0.07198993647423496
0.3,3.0,0.0,2.3844712657247005e-07
0.3,4.0,0.0,3.8580771414618984e-07
0.3,6.0,0.0,1.2687280577315432e-11
0.3,8.0,0.0,6.242421534380828e-07
0.3,12.0,0.0,1.486906058892685e-06
0.3,16.0,0.0,1.2687280577315435e-11
0.3,24.0,0.0,1.6342666464646703e-06
0.4,0.25,0.35343721124820093,0.5838878313098251
0.4,0.5,0.20234467152597846,0.5604909146424495
0.4,1.0,0.015465283350964481,0.31961460808194364
0.4,2.0,0.0,2.3844712657247005e-07
0.4,3.0,0.0,1.2687280577315432e-11
0.4,4.0,0.0,1.268727884259196e-11
0.4,6.0,0.0,1.0100371803036957e-06
0.4,8.0,0.0,1.2687280577315435e-11
0.4,12.0,0.0,1.6342666464646703e-06
0.4,16.0,0.0,3.26852060564703e-06
0.4,24.0,0.0,1.2687280577315435e-11
0.5,0.25,0.28981968402374364,0.5814235725859841
0.5,0.5,0.10301709658489452,0.5133715625060434
0.5,1.0,5.092635396989588e-10,0.002537401701253542
0.5,2.0,5.793626001894428e-69,-1.734723475976807e-18
0.5,3.0,5.793626001894428e-69,-1.734723475976807e-18
0.5,4.0,5.793626001894428e-69,-1.734723475976807e-18
0.5,6.0,5.793626001894428e-69,-1.734723475976807e-18
0.5,8.0,2.317450400757771e-68,-3.469446951953614e-18
0.5,12.0,2.317450400757771e-68,-3.469446951953614e-18
0.5,16.0,0.0,0.0
0.5,24.0,5.793626001894428e-69,-1.734723475976807e-18
